Unnamed: 0,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
Product1,9.8,9.8,8.8,9.8,9.8,9.8,9.8,9.8,9.674999999999999,9.674999999999999,9.674999999999999,9.674999999999999,9.674999999999999,9.674999999999999,9.674999999999999,9.674999999999999
Product2,28.53,28.53,28.55,28.58,27.68,27.68,28.27,28.27,28.261250000000004,28.261250000000004,28.261250000000004,28.261250000000004,28.261250000000004,28.261250000000004,28.261250000000004,28.261250000000004
Product3,9.95,6.96,6.96,9.95,9.95,9.95,9.95,9.95,9.2025,9.2025,9.2025,9.2025,9.2025,9.2025,9.2025,9.2025
Product4,68.39,68.38,68.38,68.38,68.38,89.99,89.99,89.99,76.485,76.485,76.485,76.485,76.485,76.485,76.485,76.485
Product5,18.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24
Product6,79.49,47.49,47.49,79.49,79.49,79.49,79.49,79.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49
Product7,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
Product8,16.0,12.8,12.8,16.0,16.0,16.0,16.0,16.0,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2
Product9,30.6,27.2,27.2,34.0,34.0,34.0,34.0,34.0,31.875,31.875,31.875,31.875,31.875,31.875,31.875,31.875
Product10,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
Product11,21.59,33.99,23.99,33.99,33.99,33.99,33.99,33.99,31.190000000000005,31.190000000000005,31.190000000000005,31.190000000000005,31.190000000000005,31.190000000000005,31.190000000000005,31.190000000000005
Product12,26.99,23.99,23.99,29.99,29.99,29.99,29.99,29.99,28.115000000000002,28.115000000000002,28.115000000000002,28.115000000000002,28.115000000000002,28.115000000000002,28.115000000000002,28.115000000000002
Product13,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
Product14,35.05,31.16,31.16,38.95,38.95,38.95,38.95,38.95,36.51499999999999,36.51499999999999,36.51499999999999,36.51499999999999,36.51499999999999,36.51499999999999,36.51499999999999,36.51499999999999
Product15,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
Product16,24.99,19.99,19.99,24.99,24.99,24.99,24.99,24.99,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002
Product17,9.97,9.97,9.97,9.97,17.98,19.06,19.06,19.06,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38
Product18,14.99,11.99,11.99,14.99,14.99,14.99,14.99,14.99,14.239999999999998,14.239999999999998,14.239999999999998,14.239999999999998,14.239999999999998,14.239999999999998,14.239999999999998,14.239999999999998
Product19,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
Product20,169.99,144.49,144.48,169.99,169.99,169.99,169.99,169.99,163.61375,163.61375,163.61375,163.61375,163.61375,163.61375,163.61375,163.61375
Product21,159.95,159.95,149.95,199.95,199.95,199.95,199.95,199.95,183.70000000000002,183.70000000000002,183.70000000000002,183.70000000000002,183.70000000000002,183.70000000000002,183.70000000000002,183.70000000000002
Product22,199.99,139.99,139.99,199.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99
Product23,22.49,16.02,16.02,22.49,22.49,22.49,22.49,22.49,20.8725,20.8725,20.8725,20.8725,20.8725,20.8725,20.8725,20.8725
